@relation 'train_set-weka.filters.unsupervised.attribute.Remove-R1-2,6,8-9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute home_score numeric
@attribute away_score numeric
@attribute strength_code {PP,EV,SH}
@attribute shot_distance numeric
@attribute shot_angle numeric
@attribute shot_outcome {SHOT,MISSED_SHOT,GOAL}

@data
0,0,EV,0.54171,38.3,SHOT
0,0,EV,0.790135,36,SHOT
1,1,EV,-0.03795,25.8,GOAL
0,0,EV,0.893646,39.3,SHOT
1,1,EV,0.785995,12.8,SHOT
2,1,EV,0.558271,45.8,SHOT
0,0,EV,2.60364,22.1,SHOT
3,1,PP,-0.932281,51.3,SHOT
0,0,EV,0.678344,42.6,SHOT
1,1,PP,0.094544,50.4,SHOT
3,4,PP,-0.816349,39.8,SHOT
1,0,EV,0.814978,27,SHOT
1,1,EV,1.286986,30.8,SHOT
5,0,EV,-0.369183,52.7,SHOT
0,1,EV,0.471322,43.3,SHOT
0,0,EV,-0.257392,15.9,MISSED_SHOT
3,2,EV,-0.365043,10.9,SHOT
1,2,EV,0.330548,33.7,MISSED_SHOT
1,1,SH,4.429567,7.7,SHOT
3,0,EV,-0.5348,26.6,MISSED_SHOT
1,0,EV,0.086263,15.5,SHOT
0,0,EV,0.193914,36.9,SHOT
2,3,EV,0.819118,3.1,SHOT
0,0,EV,1.005437,34.8,SHOT
1,1,PP,-1.085477,6.3,SHOT
1,2,PP,-0.43543,40.1,SHOT
0,0,EV,-0.174583,45,SHOT
0,0,EV,-1.081336,40.6,SHOT
1,2,EV,1.046841,13.3,MISSED_SHOT
2,0,EV,-1.110319,20.6,SHOT
1,3,EV,0.868803,6.1,MISSED_SHOT
2,0,EV,-0.663153,21.3,MISSED_SHOT
0,0,PP,-1.147583,113.2,SHOT
1,1,PP,-1.126881,7.1,SHOT
2,1,EV,0.504446,14.6,MISSED_SHOT
0,0,EV,-0.903298,42,SHOT
1,2,EV,-1.081336,49.4,SHOT
1,2,EV,-1.12274,14,SHOT
1,1,EV,-0.994387,45,SHOT
0,0,EV,-0.977826,70,SHOT
0,3,EV,0.25188,37.1,GOAL
1,0,PP,0.44234,1.2,MISSED_SHOT
0,3,EV,1.224879,33.7,SHOT
0,0,EV,0.007595,49.6,SHOT
6,1,EV,-0.174583,47.6,SHOT
1,0,EV,-0.447851,78.2,SHOT
0,0,EV,1.452603,11.5,SHOT
0,0,EV,-0.286375,10.1,MISSED_SHOT
0,0,EV,0.516867,37.3,SHOT
0,0,EV,-0.191145,19,SHOT
0,2,EV,-0.472694,57,SHOT
1,1,EV,0.222897,27.8,SHOT
3,3,EV,-0.100056,70.5,SHOT
2,3,SH,-1.168285,8.1,SHOT
2,3,PP,0.926769,14,MISSED_SHOT
1,0,EV,0.409216,24.9,SHOT
0,1,EV,-0.808068,18.4,GOAL
0,3,EV,0.198055,4.3,MISSED_SHOT
4,3,EV,0.819118,3.1,MISSED_SHOT
3,2,EV,-1.110319,45,MISSED_SHOT
2,2,EV,-0.924,4.4,GOAL
2,0,EV,2.168896,25.7,SHOT
0,0,EV,0.483744,60.7,SHOT
3,1,EV,-0.33606,36,SHOT
1,3,EV,0.471322,46.7,SHOT
0,0,PP,-1.089617,0,SHOT
3,4,PP,-0.745962,10,SHOT
2,3,EV,-1.12274,14,SHOT
0,1,EV,-0.174583,45,SHOT
2,1,SH,-0.112477,17.9,GOAL
3,1,EV,1.187616,29,SHOT
2,2,EV,-0.924,4.4,MISSED_SHOT
1,1,EV,-0.567924,13.4,SHOT
0,2,EV,0.35125,34.8,MISSED_SHOT
0,0,EV,-0.095915,1.7,SHOT
3,3,EV,-1.015089,33.7,MISSED_SHOT
0,1,EV,0.077982,6.2,MISSED_SHOT
3,4,EV,-0.787366,10.6,SHOT
0,1,PP,0.214616,15.8,SHOT
1,2,PP,0.723888,24.6,SHOT
0,0,EV,-0.071073,59.6,SHOT
0,0,EV,1.117228,29.9,MISSED_SHOT
1,4,EV,0.359531,0,SHOT
0,0,EV,0.93919,0,SHOT
1,1,PP,-0.841192,3.8,SHOT
3,3,EV,-0.783226,52.4,SHOT
2,2,EV,-0.129039,7.1,SHOT
3,1,PP,-0.414728,18.4,SHOT
1,2,PP,-0.886736,21,SHOT
1,2,EV,-0.924,0,SHOT
5,1,PP,-1.110319,20.6,MISSED_SHOT
4,0,EV,0.574833,24,MISSED_SHOT
0,0,EV,1.593377,32.8,SHOT
5,2,EV,-0.13732,20.1,SHOT
1,1,EV,-0.360903,55.7,SHOT
2,0,EV,-1.073055,32,SHOT
0,2,EV,0.086263,34.1,SHOT
3,0,EV,-0.841192,53.1,GOAL
0,0,EV,0.699046,16.7,SHOT
3,3,EV,-0.257392,40.8,MISSED_SHOT
2,1,EV,1.146211,32.7,SHOT
2,0,EV,-0.754243,69.4,SHOT
0,0,EV,-0.112477,47.5,SHOT
